"리드텍  쿼드로 M4000 D5 8GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,GDDR5(DDR5),8GB,256-bit,,4개,,,O,,,,,,,241 mm,20 mm,최대 120W,1116290,http://timg.danawa.com/prod_img/500000/702/477/img/3477702_1.jpg"
"AXLE  지포스 G210 SMART HDMI D3 512MB LP,AXLE,NVIDIA,지포스 G2xx,PCIe2.0x16,GDDR3(DDR3),512MB,32-bit,1개,,,O,,,,,,,방열판+쿨러,150 mm,30 mm,최대 30.5W,32490,http://timg.danawa.com/prod_img/500000/556/509/img/1509556_1.jpg"
"GIGABYTE  지포스 GTX1050 UD2 D5 2GB Nano LP,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,2개,1개,,O,O,,O,,,,방열판+쿨러,167 mm,37 mm,,159750,http://timg.danawa.com/prod_img/500000/143/889/img/4889143_1.jpg"
"이엠텍 XENON 지포스 GT730 D5 1GB LP,이엠텍,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR5(DDR5),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,165 mm,18 mm,최대 38W,70760,http://timg.danawa.com/prod_img/500000/263/665/img/2665263_1.jpg"
"GIGABYTE  지포스 GT730 UD2 D5 2GB 블랙펄,GIGABYTE,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,GDDR5(DDR5),2GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,166 mm,24 mm,,85240,http://timg.danawa.com/prod_img/500000/429/061/img/3061429_1.jpg"
"이엠텍 XENON 지포스 GT1030 HDMI 2.0 D5 2GB,이엠텍,NVIDIA,지포스 GT10xx,PCIe3.0x4,GDDR5(DDR5),2GB,64-bit,1개,,,,O,,O,,,,방열판+쿨러,145 mm,20 mm,최대 30W,96900,http://timg.danawa.com/prod_img/500000/135/149/img/5149135_1.jpg"
"Colorful  지포스 GTX1050 REVENGE OC D5 2GB,Colorful,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,230 mm,40 mm,최대 75W,161000,http://timg.danawa.com/prod_img/500000/703/677/img/4677703_1.jpg"
"HIS  라데온 RX 460 iCooler OC D5 2GB,HIS,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,O,O,O,,O,,,,,170 mm,35 mm,최대 75W,132850,http://timg.danawa.com/prod_img/500000/094/346/img/4346094_1.jpg"
"GIGABYTE  라데온 R7 240 UD2 D3 2GB WING-100,GIGABYTE,AMD(ATi),라데온 R7 2xx,PCIe3.0x8,GDDR3(DDR3),2GB,128-bit,1개,,,,O,,,,,,방열판+쿨러,188 mm,33 mm,최대 30W,79340,http://timg.danawa.com/prod_img/500000/364/272/img/2272364_1.jpg"
"갤럭시 GALAX 지포스 GT710 D3 2GB LP,갤럭시,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),2GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,158 mm,22 mm,,43210,http://timg.danawa.com/prod_img/500000/200/758/img/3758200_1.jpg"
"이엠텍 HV 지포스 GT730 OC LP Edition D5 1GB,이엠텍,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,GDDR5(DDR5),1GB,,1개,,,O,,,,,,,방열판+쿨러,145 mm,14 mm,최대 38W,69150,http://timg.danawa.com/prod_img/500000/832/678/img/2678832_1.jpg"
"GIGABYTE  지포스 GT1030 UD2 D5 2GB 미니미,GIGABYTE,NVIDIA,지포스 GT10xx,PCIe3.0x4,GDDR5(DDR5),2GB,64-bit,1개,,,,O,,O,,,,,150 mm,15 mm,,99710,http://timg.danawa.com/prod_img/500000/140/149/img/5149140_1.jpg"
"MSI  지포스 GT1030 D5 2GB LP 스톰 귀요미,MSI,NVIDIA,지포스 GT10xx,PCIe3.0x16,GDDR5(DDR5),2GB,64-bit,1개,,,,,,O,,O,,방열판+쿨러,159 mm,19 mm,최대 30W,93000,http://timg.danawa.com/prod_img/500000/224/215/img/5215224_1.jpg"
"ZOTAC  지포스 GT730 D5 1GB LP,ZOTAC,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,GDDR5(DDR5),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,148 mm,,최대 38W,71830,http://timg.danawa.com/prod_img/500000/082/666/img/2666082_1.jpg"
"ZOTAC  지포스 GTX1080 ARCTICSTORM 워터블럭 D5X 8GB,ZOTAC,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),8GB,256-bit,1개,3개,,O,,O,O,,,,수냉 쿨링,300 mm,,최대 180W,1029800,http://timg.danawa.com/prod_img/500000/879/472/img/4472879_1.jpg"
"이엠텍 XENON 지포스 GT730 D3 1GB LP,이엠텍,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,SDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,150 mm,19 mm,최대 23W,66470,http://timg.danawa.com/prod_img/500000/387/801/img/2801387_1.jpg"
"갤럭시 GALAX 지포스 GTX950 OC HONEY D5 2GB,갤럭시,NVIDIA,지포스 GTX9xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,O,O,O,,O,,,,,230 mm,38 mm,최대 90W,145810,http://timg.danawa.com/prod_img/500000/959/417/img/3417959_1.jpg"
"이엠텍 XENON 지포스 GT730 D3 2GB LP,이엠텍,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),2GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,159 mm,17 mm,최대 49W,70760,http://timg.danawa.com/prod_img/500000/319/665/img/2665319_1.jpg"
"리드텍  쿼드로 K420 D3 2GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe2.0x16,GDDR3(DDR3),2GB,128-bit,,1개,O,O,O,,,,,,,177 mm,20 mm,최대 45W,154390,http://timg.danawa.com/prod_img/500000/700/477/img/3477700_1.jpg"
"갤럭시 GALAX 지포스 GT730 D3 2GB,갤럭시,NVIDIA,지포스 GT7xx,PCI-Express 2.0 x8,GDDR3(DDR3),2GB,128-bit,1개,,,O,,,,,,,방열판+쿨러,145 mm,21 mm,,68200,http://timg.danawa.com/prod_img/500000/835/095/img/3095835_1.jpg"
"리드텍  쿼드로 P6000 D5X 24GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,GDDR5X(DDR5X),24GB,384-bit,,4개,,,,,,,,,,267 mm,40 mm,최대 250W,9294460,http://timg.danawa.com/prod_img/500000/048/728/img/4728048_1.jpg"
"GIGABYTE  라데온 RX 550 Gaming D5 2GB,GIGABYTE,AMD(ATi),라데온 RX 5xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,O,,,,191 mm,37 mm,,122230,http://timg.danawa.com/prod_img/500000/225/096/img/5096225_1.jpg"
