"타무즈  M530 M.2 2280(120GB),타무즈,내장형,M.2 (2280),SATA3 (6Gb/s),120GB,TLC(기타),2D낸드,,마벨 88NV1120,최대 405MB/s,최대 535MB/s,,,,,,,,65940,http://timg.danawa.com/prod_img/500000/796/962/img/4962796_1.jpg"
"WD  Blue M.2 2280(500GB),WD,내장형,M.2 (2280),SATA3 (6Gb/s),500GB,확인 요망,,,,최대 525MB/s,최대 545MB/s,,,,,,,,215670,http://timg.danawa.com/prod_img/500000/767/800/img/4800767_1.jpg"
"ADATA  XPG SX950(480GB),ADATA,내장형,2.5형(6.4cm),SATA3 (6Gb/s),480GB,MLC(기타),3D낸드,,,최대 530MB/s,최대 560MB/s,,,,,,,,300200,http://timg.danawa.com/prod_img/500000/211/109/img/5109211_1.jpg"
"갤럭시  GALAX GAMER V100T(240GB),갤럭시,내장형,2.5형(6.4cm),SATA3 (6Gb/s),240GB,TLC(토글),3D낸드,,파이슨 S3111-S11,최대 500MB/s,최대 520MB/s,,,,,,,,109460,http://timg.danawa.com/prod_img/500000/680/884/img/4884680_1.jpg"
"WD  Blue M.2 2280(1TB),WD,내장형,M.2 (2280),SATA3 (6Gb/s),1TB,확인 요망,,,,최대 525MB/s,최대 545MB/s,,,,,,,,420510,http://timg.danawa.com/prod_img/500000/706/800/img/4800706_1.jpg"
"타무즈  RX470(120GB),타무즈,내장형,2.5형(6.4cm),SATA3 (6Gb/s),120GB,TLC(토글),2D낸드,19 nm,실리콘모션 SM2256,400MB/s,510MB/s,,,,,,,,66650,http://timg.danawa.com/prod_img/500000/995/755/img/4755995_1.jpg"
"TeamGroup  L7 EVO(120GB),TeamGroup,내장형,2.5형(6.4cm),SATA3 (6Gb/s),120GB,TLC(토글),,,마벨 88NV1120,최대 360MB/s,최대 530MB/s,,,,,,,,64330,http://timg.danawa.com/prod_img/500000/326/445/img/4445326_1.jpg"
"라온티앤아이  RX630(32GB),라온티앤아이,내장형,2.5형(6.4cm),SATA3 (6Gb/s),32GB,MLC(토글),,,실리콘모션 2246,50MB/s,230MB/s,,,,,,,,36310,http://timg.danawa.com/prod_img/500000/633/063/img/4063633_1.jpg"
"타무즈  RX460(240GB),타무즈,내장형,2.5형(6.4cm),SATA3 (6Gb/s),240GB,TLC(토글),,,마벨 88NV1120,최대 400MB/s,최대 530MB/s,,,,,,,,107290,http://timg.danawa.com/prod_img/500000/620/279/img/4279620_1.jpg"
"Plextor  M6e PCIe Black Edition(256GB),Plextor,내장형,PCIe 카드,PCIe2.0x2 (10GT/s),256GB,MLC(토글),,19 nm,마벨 88SS9183,최대 580MB/s,최대 770MB/s,,O,,,,,,205000,http://timg.danawa.com/prod_img/500000/251/000/img/3000251_1.jpg"
"PALIT  UVS-SSD(240GB),PALIT,내장형,2.5형(6.4cm),SATA3 (6Gb/s),240GB,TLC(기타),3D낸드,,파이슨 S3111-S11,최대 450MB/s,최대 550MB/s,,,,,,,,104000,http://timg.danawa.com/prod_img/500000/031/117/img/5117031_1.jpg"
"Plextor  M8PeGN M.2 2280(1TB),Plextor,내장형,M.2 (2280),PCIe3.0x4 (32GT/s),1TB,MLC(토글),,15 nm,마벨 88SS1093,최대 1400MB/s,최대 2500MB/s,,,,,,,,574400,http://timg.danawa.com/prod_img/500000/827/346/img/4346827_1.jpg"
"삼성전자  850 EVO Series(120GB),삼성전자,내장형,2.5형(6.4cm),SATA3(6Gb/s),120GB,TLC(토글),3D낸드,,삼성 MGX 컨트롤러,최대 520MB/s,최대 540MB/s,,,,,,,,80730,http://timg.danawa.com/prod_img/500000/444/921/img/2921444_1.jpg"
"Plextor  S2G M.2 2280(128GB),Plextor,내장형,M.2 (2280),SATA3 (6Gb/s),128GB,TLC(토글),,16 nm,실리콘모션 SM2258,최대 460MB/s,최대 520MB/s,,,,,,,,72910,http://timg.danawa.com/prod_img/500000/843/576/img/4576843_1.jpg"
"Plextor  M8PeY PCIe(256GB),Plextor,내장형,PCIe 카드,PCIe3.0x4 (32GT/s),256GB,MLC(토글),,15 nm,마벨 88SS1093,최대 900MB/s,최대 2000MB/s,,,,,,,,292620,http://timg.danawa.com/prod_img/500000/996/298/img/4298996_1.jpg"
"ADATA  Ultimate SU700(240GB),ADATA,내장형,2.5형(6.4cm),SATA3 (6Gb/s),240GB,TLC(기타),3D낸드,,Maxiotek,최대 520MB/s,최대 560MB/s,,O,,,,,,125440,http://timg.danawa.com/prod_img/500000/069/111/img/5111069_1.jpg"
