"G.SKILL  DDR4 32G PC4-26600 CL16 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3333MHz,1.35V,592510,http://timg.danawa.com/prod_img/500000/154/131/img/5131154_1.jpg"
"TeamGroup T-Force DDR4 16G PC4-21300 CL15 VULCAN Red (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,2666MHz,1.20V,153390,http://timg.danawa.com/prod_img/500000/567/596/img/4596567_1.jpg"
"GeIL  DDR4 16G PC4-24000 CL16 SUPER LUCE WHITE 화이트 (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3000MHz,1.35V,199160,http://timg.danawa.com/prod_img/500000/825/784/img/3784825_1.jpg"
"G.SKILL  DDR4 16G PC4-19200 CL15 AEGIS,G.SKILL,DDR4,PC용,1ea,미포함,16GB,2400MHz,1.20V,152150,http://timg.danawa.com/prod_img/500000/819/910/img/3910819_1.jpg"
"G.SKILL  DDR4 8G PC4-17000 CL15 RIPJAWS V VS,G.SKILL,DDR4,PC용,1ea,포함,8GB,2133MHz,1.20V,85350,http://timg.danawa.com/prod_img/500000/328/561/img/4561328_1.jpg"
"GeIL  DDR4 8G PC4-17000 CL15 SUPER LUCE BLACK 블루,GeIL,DDR4,PC용,1ea,포함,8GB,2133MHz,1.20V,80750,http://timg.danawa.com/prod_img/500000/014/980/img/3980014_1.jpg"
"GeIL  DDR4 16G PC4-19200 CL16 EVO-X RGB,GeIL,DDR4,PC용,1ea,포함,16GB,2400MHz,1.20V,160510,http://timg.danawa.com/prod_img/500000/967/540/img/4540967_1.jpg"
"AVEXIR  DDR4 16G PC4-24000 CL16 RAIDEN TESLA 그린 (8Gx2),AVEXIR,DDR4,PC용,2ea,포함,16GB,3000MHz,1.20V,284650,http://timg.danawa.com/prod_img/500000/196/481/img/4481196_1.jpg"
"GeIL  DDR4 4G PC4-17000 CL15 SUPER LUCE BLACK 레드,GeIL,DDR4,PC용,1ea,포함,4GB,2133MHz,1.20V,49740,http://timg.danawa.com/prod_img/500000/085/980/img/3980085_1.jpg"
"G.SKILL  DDR4 16G PC4-25600 CL14 FLARE X 블랙 DUAL (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3200MHz,1.35V,291440,http://timg.danawa.com/prod_img/500000/193/107/img/5107193_1.jpg"
